Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
DABUR,EQ,19-Mar-24,523.6,523.25,530,516.55,518.2,518.35,519.44,"20,71,489","1,07,60,14,382.95","24,996","13,11,743",63.32
DABUR,EQ,20-Mar-24,518.35,518.35,521.2,512,520,520.2,517.75,"9,25,067","47,89,55,815.75","22,286","5,50,455",59.5
DABUR,EQ,21-Mar-24,520.2,522.25,525.65,518.5,524.55,523.95,523.33,"9,73,386","50,94,04,820.85","15,633","7,07,514",72.69
DABUR,EQ,22-Mar-24,523.95,524,527.35,519,521,520.8,520.96,"10,72,318","55,86,40,029.50","29,627","7,18,259",66.98
DABUR,EQ,26-Mar-24,520.8,512.6,522.25,512.6,521,521.1,519.42,"19,61,179","1,01,86,68,570.50","28,170","14,38,595",73.35
DABUR,EQ,27-Mar-24,521.1,524,524.4,519.1,522.4,521.65,521.47,"26,38,465","1,37,58,88,771.70","47,446","20,51,756",77.76
DABUR,EQ,28-Mar-24,521.65,522,526,517.75,522.3,523.15,522.36,"23,12,982","1,20,82,09,770.05","28,506","17,38,052",75.14
DABUR,EQ,01-Apr-24,523.15,523.5,530.6,523.5,529.4,529.15,527.85,"8,47,682","44,74,47,956.20","24,279","5,14,091",60.65
DABUR,EQ,02-Apr-24,529.15,529.15,532.55,527.65,531,531.6,530.88,"11,75,093","62,38,28,852.60","19,960","8,62,411",73.39
DABUR,EQ,03-Apr-24,531.6,530.9,532.4,528.6,530.85,531,530.72,"11,76,084","62,41,71,120.75","27,565","9,10,748",77.44
DABUR,EQ,04-Apr-24,531,531,531.95,502.3,507.25,506.05,510.65,"1,04,45,923","5,33,42,55,489.75","1,51,650","72,37,921",69.29
DABUR,EQ,05-Apr-24,506.05,510,510,504,508.15,507.9,507.14,"76,15,006","3,86,18,58,027.80","1,08,195","52,71,376",69.22
DABUR,EQ,08-Apr-24,507.9,508.05,509.85,502.2,503.35,503.05,504.74,"36,02,540","1,81,83,60,302.40","57,633","27,04,472",75.07
DABUR,EQ,09-Apr-24,503.05,506.5,508.5,502.5,503.2,503.15,505.32,"22,17,268","1,12,04,34,928.05","37,997","15,55,001",70.13
DABUR,EQ,10-Apr-24,503.15,505,506.95,502.25,506,506.25,505.19,"19,78,008","99,92,68,315.55","24,751","14,63,223",73.97
DABUR,EQ,12-Apr-24,506.25,507,507.65,499.1,500.6,500.6,503.95,"41,66,549","2,09,97,49,316.15","46,346","33,63,545",80.73
DABUR,EQ,15-Apr-24,500.6,495.9,497,489.2,495.65,495.2,493.42,"36,00,795","1,77,66,88,531.50","61,986","23,83,142",66.18
DABUR,EQ,16-Apr-24,495.2,495.2,505.6,492.35,504,503.9,503.32,"29,28,056","1,47,37,63,680.70","44,602","20,01,961",68.37
DABUR,EQ,18-Apr-24,503.9,505.75,507.95,501,505,503.85,504.35,"26,04,037","1,31,33,36,208.15","80,074","18,67,230",71.71
DABUR,EQ,19-Apr-24,503.85,501.6,505.8,496.05,503.2,504.2,501.47,"21,83,936","1,09,51,79,771.60","44,188","14,23,626",65.19
DABUR,EQ,22-Apr-24,504.2,507.4,508,503.3,506.25,506.15,505.93,"12,08,372","61,13,54,568.35","26,043","8,22,147",68.04
DABUR,EQ,23-Apr-24,506.15,507.1,510.45,505.2,507.9,507.15,508.33,"19,04,186","96,79,53,676.95","56,757","13,71,582",72.03
DABUR,EQ,24-Apr-24,507.15,509.9,510.3,507.65,509.4,509.45,509.4,"18,55,798","94,53,44,813.05","43,264","14,20,430",76.54
DABUR,EQ,25-Apr-24,509.45,509.5,510.25,504.15,505.7,506.45,506.41,"10,22,931","51,80,20,270.70","25,543","5,65,401",55.27
DABUR,EQ,26-Apr-24,506.45,507.35,511.55,505.3,509,509,509.31,"13,72,205","69,88,71,263.10","20,860","8,68,576",63.3
DABUR,EQ,29-Apr-24,509,512.4,512.8,506,506.25,506.7,508.39,"13,73,441","69,82,41,958.85","37,847","7,96,057",57.96
DABUR,EQ,30-Apr-24,506.7,509,512.4,505.15,507.55,507.75,508.74,"20,92,290","1,06,44,24,636.00","36,217","13,24,479",63.3
DABUR,EQ,02-May-24,507.75,508,536.05,508,528.6,525.3,522.09,"70,92,006","3,70,26,74,491.60","1,07,183","18,95,573",26.73
DABUR,EQ,03-May-24,525.3,536.25,538,524,529.5,531.75,530.15,"70,08,370","3,71,55,03,093.15","1,13,473","32,05,169",45.73
DABUR,EQ,06-May-24,531.75,535,535.5,524.25,530,530.8,529.63,"31,72,072","1,68,00,20,276.75","50,992","18,45,008",58.16
DABUR,EQ,07-May-24,530.8,533.55,566.9,531.3,557.95,558.45,558.71,"1,47,21,222","8,22,48,40,210.90","2,52,090","53,95,494",36.65
DABUR,EQ,08-May-24,558.45,558.45,561.95,554.1,554.95,556.6,557.65,"40,85,815","2,27,84,37,076.35","1,00,145","27,30,105",66.82
DABUR,EQ,09-May-24,556.6,556.6,564.95,550.45,552.75,552.8,557.92,"53,05,923","2,96,02,90,816.90","64,380","32,54,975",61.35
DABUR,EQ,10-May-24,552.8,550.95,551.95,540.35,550.95,550.8,549.29,"25,21,438","1,38,50,12,874.35","43,870","15,73,561",62.41
DABUR,EQ,13-May-24,550.8,550.8,553.2,543.7,549,550.25,548.87,"30,67,643","1,68,37,35,905.10","63,965","21,98,337",71.66
DABUR,EQ,14-May-24,550.25,550.25,562.7,550.25,554.3,554.55,557.55,"28,72,594","1,60,16,26,289.20","46,844","16,89,734",58.82
DABUR,EQ,15-May-24,554.55,554.55,555,543,546.6,545.85,546.44,"24,36,198","1,33,12,41,543.15","51,868","16,86,872",69.24
DABUR,EQ,16-May-24,545.85,547.65,549.4,534.7,543,542.05,539.39,"38,64,351","2,08,43,83,232.50","57,179","20,99,963",54.34
DABUR,EQ,17-May-24,542.05,543.2,544,535,536,535.8,537.44,"16,42,503","88,27,54,175.30","46,756","9,27,113",56.45
DABUR,EQ,18-May-24,535.8,539.45,545.2,535,539,540,539.62,"1,40,424","7,57,75,878.70","4,558","52,705",37.53
DABUR,EQ,21-May-24,540,538.1,541,533.6,541,539.35,537.11,"13,88,390","74,57,22,484.85","51,218","8,45,121",60.87
DABUR,EQ,22-May-24,539.35,543,555.9,538.8,554.4,554,551.09,"43,19,988","2,38,07,12,380.10","78,482","19,52,669",45.2
DABUR,EQ,23-May-24,554,556,562,551.65,559.85,559.95,557.88,"29,24,910","1,63,17,36,162.25","61,106","17,89,818",61.19
